Epoch 58/4000 (1%) | Time: 00:00:14 | ETA: 16:04:57 | GPS: 17.556680 | green Avg Loss: -0.078741 | blue Avg Loss: -0.081320 | green Avg Reward: 0.262863 | blue Avg Reward: 0.431835 | Games Played: 250
Epoch 59/4000 (1%) | Time: 00:00:14 | ETA: 16:04:02 | GPS: 17.741459 | red Avg Loss: -0.079817 | green Avg Loss: -0.078736 | red Avg Reward: 0.332841 | green Avg Reward: 0.164201 | Games Played: 250
Epoch 60/4000 (1%) | Time: 00:00:14 | ETA: 16:03:28 | GPS: 17.398204 | blue Avg Loss: -0.079706 | red Avg Loss: -0.079199 | blue Avg Reward: 0.545473 | red Avg Reward: 0.663077 | Games Played: 250
Epoch 61/4000 (1%) | Time: 00:00:14 | ETA: 16:02:52 | GPS: 17.422677 | blue Avg Loss: -0.079358 | green Avg Loss: -0.079177 | blue Avg Reward: 0.910361 | green Avg Reward: 0.074864 | Games Played: 250
Epoch 62/4000 (1%) | Time: 00:00:14 | ETA: 16:02:56 | GPS: 16.704721 | red Avg Loss: -0.079214 | green Avg Loss: -0.078828 | red Avg Reward: 0.574557 | green Avg Reward: 0.224897 | Games Played: 250
Epoch 63/4000 (1%) | Time: 00:00:14 | ETA: 16:02:32 | GPS: 17.215688 | red Avg Loss: -0.079485 | green Avg Loss: -0.078792 | red Avg Reward: 0.849968 | green Avg Reward: 0.515311 | Games Played: 250
Epoch 64/4000 (1%) | Time: 00:00:14 | ETA: 16:02:14 | GPS: 17.106390 | green Avg Loss: -0.080679 | blue Avg Loss: -0.080354 | green Avg Reward: 1.105003 | blue Avg Reward: 1.347066 | Games Played: 250
Epoch 65/4000 (1%) | Time: 00:00:15 | ETA: 16:02:20 | GPS: 16.660290 | green Avg Loss: -0.084982 | blue Avg Loss: -0.079047 | green Avg Reward: 1.626157 | blue Avg Reward: 0.998739 | Games Played: 250
Epoch 66/4000 (1%) | Time: 00:00:14 | ETA: 16:01:36 | GPS: 17.629106 | red Avg Loss: -0.079333 | green Avg Loss: -0.078974 | red Avg Reward: 0.669523 | green Avg Reward: 0.342122 | Games Played: 250
Epoch 67/4000 (1%) | Time: 00:00:13 | ETA: 16:00:41 | GPS: 17.876156 | green Avg Loss: -0.078872 | red Avg Loss: -0.080468 | green Avg Reward: 0.148620 | red Avg Reward: 0.564472 | Games Played: 250
Epoch 68/4000 (1%) | Time: 00:00:14 | ETA: 16:00:38 | GPS: 16.837092 | red Avg Loss: -0.079039 | green Avg Loss: -0.080709 | red Avg Reward: 0.218322 | green Avg Reward: 0.563132 | Games Played: 250
