Epoch 82/4000 (2%) | Time: 00:00:16 | ETA: 17:39:08 | GPS: 14.744901 | green Avg Loss: -0.076794 | red Avg Loss: -0.073418 | green Avg Reward: 3.746281 | red Avg Reward: 4.559820 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 83/4000 (2%) | Time: 00:00:20 | ETA: 17:42:29 | GPS: 12.007831 | red Avg Loss: -0.081539 | blue Avg Loss: -0.112242 | red Avg Reward: 8.850198 | blue Avg Reward: 57.703461 | red Games Won: 0 | blue Games Won: 4 | Games Played: 250
Epoch 84/4000 (2%) | Time: 00:00:18 | ETA: 17:43:35 | GPS: 13.863611 | green Avg Loss: -0.081248 | blue Avg Loss: -0.122216 | green Avg Reward: 9.646917 | blue Avg Reward: 56.692089 | green Games Won: 0 | blue Games Won: 4 | Games Played: 250
Epoch 85/4000 (2%) | Time: 00:00:15 | ETA: 17:43:03 | GPS: 15.665928 | blue Avg Loss: -0.083783 | green Avg Loss: -0.079364 | blue Avg Reward: 2.365786 | green Avg Reward: 1.946775 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 86/4000 (2%) | Time: 00:00:17 | ETA: 17:43:36 | GPS: 14.388157 | red Avg Loss: -0.219774 | green Avg Loss: -0.078213 | red Avg Reward: 26.256109 | green Avg Reward: 7.867277 | red Games Won: 1 | green Games Won: 0 | Games Played: 250
Epoch 87/4000 (2%) | Time: 00:00:20 | ETA: 17:46:21 | GPS: 12.289344 | red Avg Loss: -0.198474 | blue Avg Loss: -0.148022 | red Avg Reward: 85.970856 | blue Avg Reward: 61.578663 | red Games Won: 6 | blue Games Won: 4 | Games Played: 250
Epoch 88/4000 (2%) | Time: 00:00:18 | ETA: 17:47:45 | GPS: 13.442978 | red Avg Loss: -0.344320 | green Avg Loss: -0.078660 | red Avg Reward: 96.620079 | green Avg Reward: 11.095892 | red Games Won: 8 | green Games Won: 0 | Games Played: 250
Epoch 89/4000 (2%) | Time: 00:00:15 | ETA: 17:47:07 | GPS: 15.737223 | blue Avg Loss: -0.079997 | green Avg Loss: -0.080449 | blue Avg Reward: 2.154287 | green Avg Reward: 2.525545 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 90/4000 (2%) | Time: 00:00:18 | ETA: 17:48:07 | GPS: 13.784726 | green Avg Loss: -0.079347 | blue Avg Loss: -0.156683 | green Avg Reward: 7.816569 | blue Avg Reward: 48.146744 | green Games Won: 0 | blue Games Won: 3 | Games Played: 250
Epoch 91/4000 (2%) | Time: 00:00:15 | ETA: 17:46:52 | GPS: 16.654433 | green Avg Loss: -0.081101 | red Avg Loss: -0.069206 | green Avg Reward: 1.391655 | red Avg Reward: 1.796110 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 92/4000 (2%) | Time: 00:00:15 | ETA: 17:46:19 | GPS: 15.627154 | green Avg Loss: -0.078943 | red Avg Loss: -0.088587 | green Avg Reward: 2.439253 | red Avg Reward: 2.608058 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 93/4000 (2%) | Time: 00:00:16 | ETA: 17:45:57 | GPS: 15.397698 | blue Avg Loss: -0.078808 | red Avg Loss: -0.091355 | blue Avg Reward: 3.724861 | red Avg Reward: 4.210899 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 94/4000 (2%) | Time: 00:00:16 | ETA: 17:46:07 | GPS: 14.712917 | green Avg Loss: -0.083494 | blue Avg Loss: -0.104914 | green Avg Reward: 4.757777 | blue Avg Reward: 8.892435 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 95/4000 (2%) | Time: 00:00:18 | ETA: 17:47:16 | GPS: 13.547785 | red Avg Loss: -0.077215 | blue Avg Loss: -0.165152 | red Avg Reward: 8.491859 | blue Avg Reward: 21.866196 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 96/4000 (2%) | Time: 00:00:16 | ETA: 17:47:15 | GPS: 14.902640 | blue Avg Loss: -0.080442 | red Avg Loss: -0.097693 | blue Avg Reward: 3.580548 | red Avg Reward: 5.207021 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
