Epoch 57/40000 (0%) | Time: 00:00:06 | ETA: 74:20:07 | GPS: 41.252836 | blue Avg Loss: -0.219018 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 35.829666 | Original AI Avg Reward: 0.000000 | blue Games Won: 1 | Original AI Games Won: 203 | Games Played: 250
Epoch 58/40000 (0%) | Time: 00:00:05 | ETA: 74:08:28 | GPS: 43.900522 | blue Avg Loss: -0.219749 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 44.823383 | Original AI Avg Reward: 0.000000 | blue Games Won: 4 | Original AI Games Won: 211 | Games Played: 250
Epoch 59/40000 (0%) | Time: 00:00:05 | ETA: 73:56:03 | GPS: 44.714304 | green Avg Loss: -0.259239 | Original AI Avg Loss: 0.000000 | green Avg Reward: 25.361403 | Original AI Avg Reward: 0.000000 | green Games Won: 0 | Original AI Games Won: 226 | Games Played: 250
Epoch 60/40000 (0%) | Time: 00:00:05 | ETA: 73:47:50 | GPS: 42.127938 | red Avg Loss: -0.317285 | Original AI Avg Loss: 0.000000 | red Avg Reward: 41.645550 | Original AI Avg Reward: 0.000000 | red Games Won: 2 | Original AI Games Won: 205 | Games Played: 250
Epoch 61/40000 (0%) | Time: 00:00:06 | ETA: 73:42:32 | GPS: 40.475584 | red Avg Loss: -0.318783 | Original AI Avg Loss: 0.000000 | red Avg Reward: 53.498745 | Original AI Avg Reward: 0.000000 | red Games Won: 6 | Original AI Games Won: 215 | Games Played: 250
Epoch 62/40000 (0%) | Time: 00:00:05 | ETA: 73:31:04 | GPS: 44.753515 | red Avg Loss: -0.333385 | Original AI Avg Loss: 0.000000 | red Avg Reward: 50.618805 | Original AI Avg Reward: 0.000000 | red Games Won: 5 | Original AI Games Won: 212 | Games Played: 250
Epoch 63/40000 (0%) | Time: 00:00:06 | ETA: 73:24:26 | GPS: 41.610614 | green Avg Loss: -0.260884 | Original AI Avg Loss: 0.000000 | green Avg Reward: 44.789547 | Original AI Avg Reward: 0.000000 | green Games Won: 4 | Original AI Games Won: 214 | Games Played: 250
Epoch 64/40000 (0%) | Time: 00:00:06 | ETA: 73:21:34 | GPS: 39.356351 | blue Avg Loss: -0.234754 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 41.837502 | Original AI Avg Reward: 0.000000 | blue Games Won: 3 | Original AI Games Won: 214 | Games Played: 250
Epoch 65/40000 (0%) | Time: 00:00:05 | ETA: 73:13:02 | GPS: 43.175603 | blue Avg Loss: -0.269215 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 43.421799 | Original AI Avg Reward: 0.000000 | blue Games Won: 3 | Original AI Games Won: 208 | Games Played: 250
Epoch 66/40000 (0%) | Time: 00:00:05 | ETA: 73:04:03 | GPS: 43.702859 | green Avg Loss: -0.284417 | Original AI Avg Loss: 0.000000 | green Avg Reward: 29.505602 | Original AI Avg Reward: 0.000000 | green Games Won: 0 | Original AI Games Won: 214 | Games Played: 250
Epoch 67/40000 (0%) | Time: 00:00:06 | ETA: 72:58:56 | GPS: 41.091005 | red Avg Loss: -0.306172 | Original AI Avg Loss: 0.000000 | red Avg Reward: 49.711437 | Original AI Avg Reward: 0.000000 | red Games Won: 5 | Original AI Games Won: 213 | Games Played: 250
Epoch 68/40000 (0%) | Time: 00:00:05 | ETA: 72:47:50 | GPS: 45.828146 | red Avg Loss: -0.269696 | Original AI Avg Loss: 0.000000 | red Avg Reward: 40.201523 | Original AI Avg Reward: 0.000000 | red Games Won: 3 | Original AI Games Won: 219 | Games Played: 250
Epoch 69/40000 (0%) | Time: 00:00:05 | ETA: 72:38:34 | GPS: 44.528120 | red Avg Loss: -0.263170 | Original AI Avg Loss: 0.000000 | red Avg Reward: 46.407749 | Original AI Avg Reward: 0.000000 | red Games Won: 5 | Original AI Games Won: 219 | Games Played: 250
Epoch 70/40000 (0%) | Time: 00:00:06 | ETA: 72:33:26 | GPS: 41.524407 | red Avg Loss: -0.288965 | Original AI Avg Loss: 0.000000 | red Avg Reward: 35.340195 | Original AI Avg Reward: 0.000000 | red Games Won: 1 | Original AI Games Won: 218 | Games Played: 250
Epoch 71/40000 (0%) | Time: 00:00:06 | ETA: 72:36:20 | GPS: 36.426716 | red Avg Loss: -0.293311 | Original AI Avg Loss: 0.000000 | red Avg Reward: 63.016514 | Original AI Avg Reward: 0.000000 | red Games Won: 7 | Original AI Games Won: 197 | Games Played: 250
Epoch 72/40000 (0%) | Time: 00:00:05 | ETA: 72:30:40 | GPS: 42.062314 | green Avg Loss: -0.297237 | Original AI Avg Loss: 0.000000 | green Avg Reward: 36.506851 | Original AI Avg Reward: 0.000000 | green Games Won: 2 | Original AI Games Won: 221 | Games Played: 250
Epoch 73/40000 (0%) | Time: 00:00:05 | ETA: 72:23:12 | GPS: 43.619899 | red Avg Loss: -0.377689 | Original AI Avg Loss: 0.000000 | red Avg Reward: 52.523407 | Original AI Avg Reward: 0.000000 | red Games Won: 5 | Original AI Games Won: 207 | Games Played: 250
Epoch 74/40000 (0%) | Time: 00:00:05 | ETA: 72:16:08 | GPS: 43.448720 | red Avg Loss: -0.252610 | Original AI Avg Loss: 0.000000 | red Avg Reward: 52.948410 | Original AI Avg Reward: 0.000000 | red Games Won: 6 | Original AI Games Won: 214 | Games Played: 250
Epoch 75/40000 (0%) | Time: 00:00:05 | ETA: 72:11:20 | GPS: 41.756552 | green Avg Loss: -0.294286 | Original AI Avg Loss: 0.000000 | green Avg Reward: 49.338387 | Original AI Avg Reward: 0.000000 | green Games Won: 4 | Original AI Games Won: 206 | Games Played: 250
Epoch 76/40000 (0%) | Time: 00:00:06 | ETA: 72:09:14 | GPS: 39.798167 | green Avg Loss: -0.243264 | Original AI Avg Loss: 0.000000 | green Avg Reward: 40.042797 | Original AI Avg Reward: 0.000000 | green Games Won: 2 | Original AI Games Won: 208 | Games Played: 250
Epoch 77/40000 (0%) | Time: 00:00:06 | ETA: 72:07:10 | GPS: 39.808761 | green Avg Loss: -0.330746 | Original AI Avg Loss: 0.000000 | green Avg Reward: 30.596626 | Original AI Avg Reward: 0.000000 | green Games Won: 1 | Original AI Games Won: 228 | Games Played: 250
Epoch 78/40000 (0%) | Time: 00:00:05 | ETA: 72:01:58 | GPS: 42.329027 | green Avg Loss: -0.391897 | Original AI Avg Loss: 0.000000 | green Avg Reward: 29.975800 | Original AI Avg Reward: 0.000000 | green Games Won: 1 | Original AI Games Won: 221 | Games Played: 250
Epoch 79/40000 (0%) | Time: 00:00:05 | ETA: 71:55:11 | GPS: 43.839253 | blue Avg Loss: -0.277784 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 42.690048 | Original AI Avg Reward: 0.000000 | blue Games Won: 3 | Original AI Games Won: 214 | Games Played: 250
Epoch 80/40000 (0%) | Time: 00:00:06 | ETA: 71:53:29 | GPS: 39.723025 | red Avg Loss: -0.237783 | Original AI Avg Loss: 0.000000 | red Avg Reward: 43.371410 | Original AI Avg Reward: 0.000000 | red Games Won: 3 | Original AI Games Won: 211 | Games Played: 250
Epoch 81/40000 (0%) | Time: 00:00:05 | ETA: 71:46:40 | GPS: 44.118934 | blue Avg Loss: -0.262555 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 48.015453 | Original AI Avg Reward: 0.000000 | blue Games Won: 5 | Original AI Games Won: 217 | Games Played: 250
Epoch 82/40000 (0%) | Time: 00:00:06 | ETA: 71:43:44 | GPS: 40.812133 | blue Avg Loss: -0.206052 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 40.663586 | Original AI Avg Reward: 0.000000 | blue Games Won: 3 | Original AI Games Won: 219 | Games Played: 250
Epoch 83/40000 (0%) | Time: 00:00:06 | ETA: 71:42:22 | GPS: 39.605971 | blue Avg Loss: -0.223269 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 51.723751 | Original AI Avg Reward: 0.000000 | blue Games Won: 5 | Original AI Games Won: 208 | Games Played: 250
Epoch 84/40000 (0%) | Time: 00:00:06 | ETA: 71:38:40 | GPS: 41.573964 | blue Avg Loss: -0.173665 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 40.476292 | Original AI Avg Reward: 0.000000 | blue Games Won: 2 | Original AI Games Won: 207 | Games Played: 250
Epoch 85/40000 (0%) | Time: 00:00:05 | ETA: 71:34:10 | GPS: 42.381276 | red Avg Loss: -0.238076 | Original AI Avg Loss: 0.000000 | red Avg Reward: 36.894836 | Original AI Avg Reward: 0.000000 | red Games Won: 2 | Original AI Games Won: 211 | Games Played: 250
Epoch 86/40000 (0%) | Time: 00:00:06 | ETA: 71:31:06 | GPS: 41.159118 | green Avg Loss: -0.360534 | Original AI Avg Loss: 0.000000 | green Avg Reward: 41.843723 | Original AI Avg Reward: 0.000000 | green Games Won: 3 | Original AI Games Won: 217 | Games Played: 250
Epoch 87/40000 (0%) | Time: 00:00:05 | ETA: 71:25:40 | GPS: 43.455822 | red Avg Loss: -0.221509 | Original AI Avg Loss: 0.000000 | red Avg Reward: 45.308075 | Original AI Avg Reward: 0.000000 | red Games Won: 4 | Original AI Games Won: 214 | Games Played: 250
Epoch 88/40000 (0%) | Time: 00:00:06 | ETA: 71:23:16 | GPS: 40.713663 | blue Avg Loss: -0.217021 | Original AI Avg Loss: 0.000000 | blue Avg Reward: 79.770981 | Original AI Avg Reward: 0.000000 | blue Games Won: 12 | Original AI Games Won: 205 | Games Played: 250
Epoch 89/40000 (0%) | Time: 00:00:05 | ETA: 71:17:38 | GPS: 43.876455 | red Avg Loss: -0.249158 | Original AI Avg Loss: 0.000000 | red Avg Reward: 56.464169 | Original AI Avg Reward: 0.000000 | red Games Won: 6 | Original AI Games Won: 211 | Games Played: 250
Epoch 90/40000 (0%) | Time: 00:00:06 | ETA: 71:15:26 | GPS: 40.665589 | red Avg Loss: -0.234883 | Original AI Avg Loss: 0.000000 | red Avg Reward: 29.661118 | Original AI Avg Reward: 0.000000 | red Games Won: 0 | Original AI Games Won: 219 | Games Played: 250
Epoch 91/40000 (0%) | Time: 00:00:06 | ETA: 71:13:12 | GPS: 40.730188 | red Avg Loss: -0.312221 | Original AI Avg Loss: 0.000000 | red Avg Reward: 56.556477 | Original AI Avg Reward: 0.000000 | red Games Won: 6 | Original AI Games Won: 206 | Games Played: 250
Epoch 92/40000 (0%) | Time: 00:00:05 | ETA: 71:09:16 | GPS: 42.416735 | green Avg Loss: -0.304711 | Original AI Avg Loss: 0.000000 | green Avg Reward: 36.685978 | Original AI Avg Reward: 0.000000 | green Games Won: 2 | Original AI Games Won: 219 | Games Played: 250
Epoch 93/40000 (0%) | Time: 00:00:05 | ETA: 71:05:57 | GPS: 41.873574 | red Avg Loss: -0.354060 | Original AI Avg Loss: 0.000000 | red Avg Reward: 43.698971 | Original AI Avg Reward: 0.000000 | red Games Won: 3 | Original AI Games Won: 213 | Games Played: 250
Epoch 94/40000 (0%) | Time: 00:00:05 | ETA: 70:59:24 | GPS: 45.427852 | green Avg Loss: -0.249552 | Original AI Avg Loss: 0.000000 | green Avg Reward: 27.134275 | Original AI Avg Reward: 0.000000 | green Games Won: 0 | Original AI Games Won: 222 | Games Played: 250
Epoch 95/40000 (0%) | Time: 00:00:05 | ETA: 70:55:55 | GPS: 42.211495 | red Avg Loss: -0.271042 | Original AI Avg Loss: 0.000000 | red Avg Reward: 40.402603 | Original AI Avg Reward: 0.000000 | red Games Won: 3 | Original AI Games Won: 214 | Games Played: 250
